Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Hernani,Defensive Midfield,22,Atlético-PR,Série A,Zenit S-Pb,Premier Liga,2016-2017,1750000,8000000
Dodô,Left-Back,24,AS Roma,Serie A,Inter,Serie A,2016-2017,6000000,7800000
José Sosa,Attacking Midfield,31,Besiktas,Süper Lig,AC Milan,Serie A,2016-2017,8000000,7500000
Max Kruse,Second Striker,28,VfL Wolfsburg,1.Bundesliga,Werder Bremen,1.Bundesliga,2016-2017,8000000,7500000
Antonio Sanabria,Centre-Forward,20,AS Roma,Serie A,Real Betis,LaLiga,2016-2017,7500000,7500000
Timothée Kolodziejczak,Centre-Back,25,Sevilla FC,LaLiga,Bor. M'gladbach,1.Bundesliga,2016-2017,7000000,7500000
Miguel Almirón,Attacking Midfield,22,Lanús,Primera División,Atlanta United,MLS,2016-2017,5500000,7500000
Malick Evouna,Centre-Forward,23,Ahly,Premier League,TJ Teda,Super League,2016-2017,2000000,7250000
Eran Zahavi,Second Striker,28,M. Tel Aviv,Ligat ha'Al,GZ R&F,Super League,2016-2017,4000000,7230000
Cristian Espinoza,Right Winger,21,Huracán,Primera División,Villarreal CF,LaLiga,2016-2017,5000000,7200000
Diogo Jota,Left Winger,19,Paços Ferreira,Liga NOS,Atlético Madrid,LaLiga,2016-2017,3000000,7200000
Rudy Gestede,Centre-Forward,28,Aston Villa,Championship,Middlesbrough,Premier League,2016-2017,7000000,7100000
Arthur Masuaku,Left-Back,22,Olympiacos,Super League,West Ham,Premier League,2016-2017,7000000,7100000
Denis Cheryshev,Left Winger,25,Real Madrid,LaLiga,Villarreal CF,LaLiga,2016-2017,10000000,7000000
Konstantinos Mitroglou,Centre-Forward,28,Fulham,Championship,Benfica,Liga NOS,2016-2017,9500000,7000000
Gerónimo Rulli,Goalkeeper,24,Man City,Premier League,Real Sociedad,LaLiga,2016-2017,8000000,7000000
Odil Akhmedov,Defensive Midfield,29,Krasnodar,Premier Liga,SIPG,Super League,2016-2017,7000000,7000000
Anwar El Ghazi,Left Winger,21,AFC Ajax,Eredivisie,LOSC Lille,Ligue 1,2016-2017,6500000,7000000
Jonathas,Centre-Forward,27,Real Sociedad,LaLiga,Rubin Kazan,Premier Liga,2016-2017,6000000,7000000
Martin Hinteregger,Centre-Back,23,RB Salzburg,Bundesliga,FC Augsburg,1.Bundesliga,2016-2017,6000000,7000000
Giuliano,Attacking Midfield,26,Grêmio,Série A,Zenit S-Pb,Premier Liga,2016-2017,5000000,7000000
Leo Baptistão,Centre-Forward,23,Atlético Madrid,LaLiga,Espanyol,LaLiga,2016-2017,4000000,7000000
Lewis Cook,Central Midfield,19,Leeds,Championship,Bournemouth,Premier League,2016-2017,4000000,7000000
Ismael Sosa,Right Winger,29,UNAM Pumas,Liga MX Clausura,Tigres UANL,Liga MX Clausura,2016-2017,3000000,7000000
Harold Preciado,Centre-Forward,22,Deportivo Cali,Liga Águila II,SZ FC,League One,2016-2017,1150000,7000000
Christian Kabasele,Centre-Back,25,KRC Genk,Jupiler Pro League,Watford,Premier League,2016-2017,6000000,6950000
Patrick Bamford,Centre-Forward,23,Chelsea,Premier League,Middlesbrough,Premier League,2016-2017,5000000,6900000
Haiqing Cao,Left-Back,23,ZJ Greentown,League One,JS Suning,Super League,2016-2017,175000,6870000
Hernán Toledo,Left Winger,20,Vélez Sarsfield,Primera División,Maldonado, Uruguay,2016-2017,200000,6750000
Matz Sels,Goalkeeper,24,KAA Gent,Jupiler Pro League,Newcastle,Championship,2016-2017,6500000,6600000
Silvio Romero,Centre-Forward,27,Chiapas FC,Liga MX Clausura,América,Liga MX Clausura,2016-2017,3000000,6600000
Grant Hanley,Centre-Back,24,Blackburn,Championship,Newcastle,Championship,2016-2017,2500000,6600000
Alex Telles,Left-Back,23,Galatasaray,Süper Lig,FC Porto,Liga NOS,2016-2017,8500000,6500000
Douglas Santos,Left-Back,22,Atlético-MG,Série A,Hamburger SV,1.Bundesliga,2016-2017,6000000,6500000
Matt Phillips,Right Winger,25,QPR,Championship,West Brom,Premier League,2016-2017,6000000,6500000
Hiroshi Kiyotake,Attacking Midfield,26,Hannover 96,2.Bundesliga,Sevilla FC,LaLiga,2016-2017,4500000,6500000
Jhon Córdoba,Centre-Forward,23,Granada CF,LaLiga,1.FSV Mainz 05,1.Bundesliga,2016-2017,3500000,6500000
Willy Boly,Centre-Back,25,Braga,Liga NOS,FC Porto,Liga NOS,2016-2017,2750000,6500000
Simone Verdi,Right Winger,24,AC Milan,Serie A,Bologna,Serie A,2016-2017,2000000,6500000
Lys Mousset,Centre-Forward,20,AC Le Havre,Ligue 2,Bournemouth,Premier League,2016-2017,400000,6500000
Edimilson Fernandes,Central Midfield,20,FC Sion,Super League,West Ham,Premier League,2016-2017,4500000,6400000
Loris Karius,Goalkeeper,23,1.FSV Mainz 05,1.Bundesliga,Liverpool,Premier League,2016-2017,7000000,6200000
Neymar,Left Winger,25,FC Barcelona,LaLiga,Paris SG,Ligue 1,2017-2018,100000000,222000000
Philippe Coutinho,Attacking Midfield,25,Liverpool,Premier League,FC Barcelona,LaLiga,2017-2018,90000000,125000000
Ousmane Dembélé,Right Winger,20,Bor. Dortmund,1.Bundesliga,FC Barcelona,LaLiga,2017-2018,33000000,115000000
Romelu Lukaku,Centre-Forward,24,Everton,Premier League,Man Utd,Premier League,2017-2018,50000000,84700000
Virgil van Dijk,Centre-Back,26,Southampton,Premier League,Liverpool,Premier League,2017-2018,30000000,78800000
Diego Costa,Centre-Forward,29,Chelsea,Premier League,Atlético Madrid,LaLiga,2017-2018,50000000,66000000
Álvaro Morata,Centre-Forward,24,Real Madrid,LaLiga,Chelsea,Premier League,2017-2018,40000000,66000000
Aymeric Laporte,Centre-Back,23,Athletic Bilbao,LaLiga,Man City,Premier League,2017-2018,25000000,65000000
Pierre-Emerick Aubameyang,Centre-Forward,28,Bor. Dortmund,1.Bundesliga,Arsenal,Premier League,2017-2018,65000000,63750000
Benjamin Mendy,Left-Back,23,Monaco,Ligue 1,Man City,Premier League,2017-2018,13000000,57500000
Alexandre Lacazette,Centre-Forward,26,Olympique Lyon,Ligue 1,Arsenal,Premier League,2017-2018,40000000,53000000
Kyle Walker,Right-Back,27,Spurs,Premier League,Man City,Premier League,2017-2018,30000000,52700000
Bernardo Silva,Right Winger,22,Monaco,Ligue 1,Man City,Premier League,2017-2018,40000000,50000000
Gylfi Sigurdsson,Attacking Midfield,27,Swansea,Premier League,Everton,Premier League,2017-2018,25000000,49400000
Nemanja Matic,Defensive Midfield,29,Chelsea,Premier League,Man Utd,Premier League,2017-2018,35000000,44700000
Leonardo Bonucci,Centre-Back,30,Juventus,Serie A,AC Milan,Serie A,2017-2018,45000000,42000000
Mohamed Salah,Right Winger,25,AS Roma,Serie A,Liverpool,Premier League,2017-2018,35000000,42000000
Corentin Tolisso,Central Midfield,22,Olympique Lyon,Ligue 1,Bayern Munich ,1.Bundesliga,2017-2018,22000000,41500000
Federico Bernardeschi,Right Winger,23,Fiorentina,Serie A,Juventus,Serie A,2017-2018,30000000,40000000
Cédric Bakambu,Centre-Forward,26,Villarreal CF,LaLiga,BJ Sinobo Guoan,Super League,2017-2018,25000000,40000000
Ederson,Goalkeeper,23,Benfica,Liga NOS,Man City,Premier League,2017-2018,22000000,40000000
Tiemoué Bakayoko,Defensive Midfield,22,Monaco,Ligue 1,Chelsea,Premier League,2017-2018,16000000,40000000
Paulinho,Central Midfield,29,GZ Evergrande,Super League,FC Barcelona,LaLiga,2017-2018,15000000,40000000
Davinson Sánchez,Centre-Back,21,AFC Ajax,Eredivisie,Spurs,Premier League,2017-2018,12000000,40000000
André Silva,Centre-Forward,21,FC Porto,Liga NOS,AC Milan,Serie A,2017-2018,22000000,38000000
Alex Oxlade-Chamberlain,Right Midfield,24,Arsenal,Premier League,Liverpool,Premier League,2017-2018,22000000,38000000
Danny Drinkwater,Central Midfield,27,Leicester,Premier League,Chelsea,Premier League,2017-2018,9000000,37900000
Vitolo,Left Winger,27,Sevilla FC,LaLiga,Atlético Madrid,LaLiga,2017-2018,25000000,36000000
Antonio Rüdiger,Centre-Back,24,AS Roma,Serie A,Chelsea,Premier League,2017-2018,25000000,35000000
Victor Lindelöf,Centre-Back,22,Benfica,Liga NOS,Man Utd,Premier League,2017-2018,22000000,35000000
Iñigo Martínez,Centre-Back,26,Real Sociedad,LaLiga,Athletic Bilbao,LaLiga,2017-2018,25000000,32000000
Nélson Semedo,Right-Back,23,Benfica,Liga NOS,FC Barcelona,LaLiga,2017-2018,20000000,30570000
Yannick Carrasco,Left Winger,24,Atlético Madrid,LaLiga,DL Yifang,Super League,2017-2018,40000000,30000000
Keita Baldé,Left Winger,22,Lazio,Serie A,Monaco,Ligue 1,2017-2018,25000000,30000000
Danilo,Right-Back,26,Real Madrid,LaLiga,Man City,Premier League,2017-2018,16000000,30000000
Michael Keane,Centre-Back,24,Burnley,Premier League,Everton,Premier League,2017-2018,18000000,28500000
Jordan Pickford,Goalkeeper,23,Sunderland,Championship,Everton,Premier League,2017-2018,15000000,28500000
Lucas Moura,Right Winger,25,Paris SG,Ligue 1,Spurs,Premier League,2017-2018,28000000,28400000
Mamadou Sakho,Centre-Back,27,Liverpool,Premier League,Crystal Palace,Premier League,2017-2018,15000000,28200000
Kelechi Iheanacho,Centre-Forward,20,Man City,Premier League,Leicester,Premier League,2017-2018,15000000,27700000
Davy Klaassen,Attacking Midfield,24,AFC Ajax,Eredivisie,Everton,Premier League,2017-2018,18000000,27000000
Milan Skriniar,Centre-Back,22,Sampdoria,Serie A,Inter,Serie A,2017-2018,7000000,27000000
Youri Tielemans,Central Midfield,20,RSC Anderlecht,Jupiler Pro League,Monaco,Ligue 1,2017-2018,22000000,25000000
Andriy Yarmolenko,Right Winger,27,Dynamo Kyiv,Premier Liga,Bor. Dortmund,1.Bundesliga,2017-2018,18000000,25000000
Serge Aurier,Right-Back,24,Paris SG,Ligue 1,Spurs,Premier League,2017-2018,15000000,25000000
Davide Zappacosta,Right-Back,25,Torino,Serie A,Chelsea,Premier League,2017-2018,8500000,25000000
Adrien Silva,Central Midfield,28,Sporting CP,Liga NOS,Leicester,Premier League,2017-2018,25000000,24500000
Theo Hernández,Left-Back,19,Atlético Madrid,LaLiga,Real Madrid,LaLiga,2017-2018,15000000,24000000
Matías Vecino,Central Midfield,25,Fiorentina,Serie A,Inter,Serie A,2017-2018,13000000,24000000
Lucas Alario,Centre-Forward,24,River Plate,Primera División,Bay. Leverkusen,1.Bundesliga,2017-2018,12000000,24000000
Andrea Conti,Right-Back,23,Atalanta,Serie A,AC Milan,Serie A,2017-2018,10000000,24000000
Leandro Paredes,Defensive Midfield,23,AS Roma,Serie A,Zenit S-Pb,Premier Liga,2017-2018,13000000,23000000
André Ayew,Left Winger,28,West Ham,Premier League,Swansea,Premier League,2017-2018,18000000,22800000
Nathan Aké,Centre-Back,22,Chelsea,Premier League,Bournemouth,Premier League,2017-2018,8000000,22800000
Theo Walcott,Right Winger,28,Arsenal,Premier League,Everton,Premier League,2017-2018,20000000,22500000
Cenk Tosun,Centre-Forward,26,Besiktas,Süper Lig,Everton,Premier League,2017-2018,10500000,22500000
Marko Arnautovic,Left Winger,28,Stoke City,Premier League,West Ham,Premier League,2017-2018,15000000,22300000
Hakan Calhanoglu,Left Winger,23,Bay. Leverkusen,1.Bundesliga,AC Milan,Serie A,2017-2018,20000000,22000000
Guido Carrillo,Centre-Forward,26,Monaco,Ligue 1,Southampton,Premier League,2017-2018,6000000,22000000
Luis Muriel,Centre-Forward,26,Sampdoria,Serie A,Sevilla FC,LaLiga,2017-2018,17000000,21500000
Manuel Akanji,Centre-Back,22,FC Basel,Super League,Bor. Dortmund,1.Bundesliga,2017-2018,5000000,21500000
Kingsley Coman,Left Winger,21,Juventus,Serie A,Bayern Munich ,1.Bundesliga,2017-2018,20000000,21000000
Pietro Pellegri,Centre-Forward,16,Genoa,Serie A,Monaco,Ligue 1,2017-2018,8000000,21000000
Andre Gray,Centre-Forward,26,Burnley,Premier League,Watford,Premier League,2017-2018,10000000,20400000
Blaise Matuidi,Central Midfield,30,Paris SG,Ligue 1,Juventus,Serie A,2017-2018,30000000,20000000
Juan Cuadrado,Right Winger,29,Chelsea,Premier League,Juventus,Serie A,2017-2018,25000000,20000000
Niklas Süle,Centre-Back,21,TSG Hoffenheim,1.Bundesliga,Bayern Munich ,1.Bundesliga,2017-2018,25000000,20000000
Roberto Gagliardini,Central Midfield,23,Atalanta,Serie A,Inter,Serie A,2017-2018,20000000,20000000
Kevin Kampl,Central Midfield,26,Bay. Leverkusen,1.Bundesliga,RB Leipzig,1.Bundesliga,2017-2018,15000000,20000000
Maximilian Philipp,Left Winger,23,SC Freiburg,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2017-2018,15000000,20000000
Óliver Torres,Attacking Midfield,22,Atlético Madrid,LaLiga,FC Porto,Liga NOS,2017-2018,14000000,20000000
Emerson,Left-Back,23,AS Roma,Serie A,Chelsea,Premier League,2017-2018,14000000,20000000
Nikola Maksimovic,Centre-Back,25,Torino,Serie A,SSC Napoli,Serie A,2017-2018,10000000,20000000
Dalbert,Left-Back,23,OGC Nice,Ligue 1,Inter,Serie A,2017-2018,5000000,20000000
Kevin Wimmer,Centre-Back,24,Spurs,Premier League,Stoke City,Premier League,2017-2018,7000000,19400000
Nabil Bentaleb,Defensive Midfield,22,Spurs,Premier League,FC Schalke 04,1.Bundesliga,2017-2018,18000000,19000000
Mateo Musacchio,Centre-Back,26,Villarreal CF,LaLiga,AC Milan,Serie A,2017-2018,18000000,18000000
Rúben Neves,Defensive Midfield,20,FC Porto,Liga NOS,Wolves,Championship,2017-2018,10000000,17900000
Chicharito,Centre-Forward,29,Bay. Leverkusen,1.Bundesliga,West Ham,Premier League,2017-2018,18000000,17800000
Panagiotis Retsos,Centre-Back,19,Olympiacos,Super League,Bay. Leverkusen,1.Bundesliga,2017-2018,5000000,17500000
Britt Assombalonga,Centre-Forward,24,Nottm Forest,Championship,Middlesbrough,Championship,2017-2018,5000000,17100000
Lucas Biglia,Defensive Midfield,31,Lazio,Serie A,AC Milan,Serie A,2017-2018,20000000,17000000
Olivier Giroud,Centre-Forward,31,Arsenal,Premier League,Chelsea,Premier League,2017-2018,20000000,17000000
Medhi Benatia,Centre-Back,30,Bayern Munich ,1.Bundesliga,Juventus,Serie A,2017-2018,15000000,17000000
Matthias Ginter,Centre-Back,23,Bor. Dortmund,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,2017-2018,15000000,17000000
John Anthony Brooks,Centre-Back,24,Hertha BSC,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2017-2018,14000000,17000000
Jürgen Locadia,Centre-Forward,24,PSV Eindhoven,Eredivisie,Brighton,Premier League,2017-2018,8500000,17000000
Mario Lemina,Defensive Midfield,23,Juventus,Serie A,Southampton,Premier League,2017-2018,7500000,17000000
Jhon Córdoba,Centre-Forward,24,1.FSV Mainz 05,1.Bundesliga,1. FC Köln,1.Bundesliga,2017-2018,7000000,17000000
Ismaïla Sarr,Left Winger,19,FC Metz,Ligue 1,Stade Rennais,Ligue 1,2017-2018,2500000,17000000
Ross Barkley,Attacking Midfield,24,Everton,Premier League,Chelsea,Premier League,2017-2018,25000000,16900000
Dani Ceballos,Central Midfield,20,Real Betis,LaLiga,Real Madrid,LaLiga,2017-2018,10000000,16500000
Wesley Hoedt,Centre-Back,23,Lazio,Serie A,Southampton,Premier League,2017-2018,7500000,16400000
Chris Wood,Centre-Forward,25,Leeds,Championship,Burnley,Premier League,2017-2018,6000000,16400000
Sam Clucas,Left Midfield,26,Hull City,Championship,Swansea,Premier League,2017-2018,2500000,16300000
Simone Zaza,Centre-Forward,26,Juventus,Serie A,Valencia CF,LaLiga,2017-2018,15000000,16000000
Yuri Berchiche,Left-Back,27,Real Sociedad,LaLiga,Paris SG,Ligue 1,2017-2018,10000000,16000000
Emanuel Mammana,Centre-Back,21,Olympique Lyon,Ligue 1,Zenit S-Pb,Premier Liga,2017-2018,7000000,16000000
Badou Ndiaye,Central Midfield,27,Galatasaray,Süper Lig,Stoke City,Premier League,2017-2018,7000000,16000000
Jean-Kévin Augustin,Centre-Forward,20,Paris SG,Ligue 1,RB Leipzig,1.Bundesliga,2017-2018,3000000,16000000
Oliver Burke,Right Winger,20,RB Leipzig,1.Bundesliga,West Brom,Premier League,2017-2018,7000000,15200000
Fernando Llorente,Centre-Forward,32,Swansea,Premier League,Spurs,Premier League,2017-2018,6000000,15100000
Ricardo Rodríguez,Left-Back,24,VfL Wolfsburg,1.Bundesliga,AC Milan,Serie A,2017-2018,17000000,15000000
José Izquierdo,Left Winger,25,Club Brugge,Jupiler Pro League,Brighton,Premier League,2017-2018,14000000,15000000
Konstantinos Mitroglou,Centre-Forward,29,Benfica,Liga NOS,Marseille,Ligue 1,2017-2018,12000000,15000000
Terence Kongolo,Centre-Back,23,Feyenoord,Eredivisie,Monaco,Ligue 1,2017-2018,10000000,15000000
Giovanni Simeone,Centre-Forward,22,Genoa,Serie A,Fiorentina,Serie A,2017-2018,10000000,15000000
Vicente Iborra,Defensive Midfield,29,Sevilla FC,LaLiga,Leicester,Premier League,2017-2018,9000000,15000000
Sebastián Driussi,Centre-Forward,21,River Plate,Primera División,Zenit S-Pb,Premier Liga,2017-2018,8000000,15000000
Gianluca Caprari,Second Striker,23,Inter,Serie A,Sampdoria,Serie A,2017-2018,6000000,15000000
Francis Coquelin,Defensive Midfield,26,Arsenal,Premier League,Valencia CF,LaLiga,2017-2018,12000000,14000000
Enes Ünal,Centre-Forward,20,Man City,Premier League,Villarreal CF,LaLiga,2017-2018,10000000,14000000
Rúben Semedo,Centre-Back,23,Sporting CP,Liga NOS,Villarreal CF,LaLiga,2017-2018,9000000,14000000
Rick Karsdorp,Right-Back,22,Feyenoord,Eredivisie,AS Roma,Serie A,2017-2018,9000000,14000000
Thiago Maia,Central Midfield,20,Santos FC,Série A,LOSC Lille,Ligue 1,2017-2018,3000000,14000000
Jay Rodríguez,Centre-Forward,27,Southampton,Premier League,West Brom,Premier League,2017-2018,10000000,13700000
Harry Maguire,Centre-Back,24,Hull City,Championship,Leicester,Premier League,2017-2018,8000000,13700000
Marten de Roon,Central Midfield,26,Middlesbrough,Championship,Atalanta,Serie A,2017-2018,10000000,13500000
Cengiz Ünder,Right Winger,20,Basaksehir,Süper Lig,AS Roma,Serie A,2017-2018,5000000,13400000
Wilfried Bony,Centre-Forward,28,Man City,Premier League,Swansea,Premier League,2017-2018,18000000,13000000
Bruma,Left Winger,22,Galatasaray,Süper Lig,RB Leipzig,1.Bundesliga,2017-2018,11000000,13000000
Marko Rog,Central Midfield,21,Dinamo Zagreb,1.HNL,SSC Napoli,Serie A,2017-2018,10000000,13000000
Davy Pröpper,Central Midfield,25,PSV Eindhoven,Eredivisie,Brighton,Premier League,2017-2018,10000000,13000000
Sandro Wagner,Centre-Forward,30,TSG Hoffenheim,1.Bundesliga,Bayern Munich ,1.Bundesliga,2017-2018,9000000,13000000
Steve Mounié,Centre-Forward,22,Montpellier,Ligue 1,Huddersfield,Premier League,2017-2018,5500000,13000000
Emre Mor,Left Winger,20,Bor. Dortmund,1.Bundesliga,Celta de Vigo,LaLiga,2017-2018,5000000,13000000
Juan Foyth,Centre-Back,19,Estudiantes,Primera División,Spurs,Premier League,2017-2018,NA,13000000
Roque Mesa,Central Midfield,28,UD Las Palmas,LaLiga,Swansea,Premier League,2017-2018,12000000,12500000
Bruno Peres,Right-Back,27,Torino,Serie A,AS Roma,Serie A,2017-2018,11000000,12500000
Simon Kjær,Centre-Back,28,Fenerbahce,Süper Lig,Sevilla FC,LaLiga,2017-2018,11000000,12500000
Yevhen Konoplyanka,Left Winger,27,Sevilla FC,LaLiga,FC Schalke 04,1.Bundesliga,2017-2018,10000000,12500000
Sven Bender,Centre-Back,28,Bor. Dortmund,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2017-2018,7000000,12500000
Richarlison,Left Winger,20,Fluminense,Série A,Watford,Premier League,2017-2018,2000000,12400000
Alex Pritchard,Attacking Midfield,24,Norwich,Championship,Huddersfield,Premier League,2017-2018,5000000,12350000
Ezequiel Barco,Attacking Midfield,18,Independiente,Primera División,Atlanta United,MLS,2017-2018,6500000,12280000
Wojciech Szczesny,Goalkeeper,27,Arsenal,Premier League,Juventus,Serie A,2017-2018,17000000,12200000
Ömer Toprak,Centre-Back,27,Bay. Leverkusen,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2017-2018,16000000,12000000
Mahmoud Dahoud,Central Midfield,21,Bor. M'gladbach,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2017-2018,15000000,12000000
Gerard Deulofeu,Right Winger,23,Everton,Premier League,FC Barcelona,LaLiga,2017-2018,12000000,12000000
Pablo Fornals,Attacking Midfield,21,Málaga CF,LaLiga,Villarreal CF,LaLiga,2017-2018,10000000,12000000
Mattia De Sciglio,Right-Back,24,AC Milan,Serie A,Juventus,Serie A,2017-2018,8500000,12000000
Adrián Ramos,Centre-Forward,31,Bor. Dortmund,1.Bundesliga,CQ Dangdai Lif.,Super League,2017-2018,5000000,12000000
Denis Zakaria,Defensive Midfield,20,BSC Young Boys,Super League,Bor. M'gladbach,1.Bundesliga,2017-2018,4000000,12000000
Pedro Rocha,Left Winger,22,Grêmio,Série A,Spartak Moscow,Premier Liga,2017-2018,1500000,12000000
Douglas Luiz,Central Midfield,19,Vasco da Gama,Série A,Man City,Premier League,2017-2018,NA,12000000
Yerry Mina,Centre-Back,23,Palmeiras,Série A,FC Barcelona,LaLiga,2017-2018,9000000,11800000
Jordan Rhodes,Centre-Forward,27,Middlesbrough,Championship,Sheff Wed,Championship,2017-2018,10000000,11700000
Asmir Begovic,Goalkeeper,30,Chelsea,Premier League,Bournemouth,Premier League,2017-2018,8000000,11500000
Lucas Pratto,Centre-Forward,29,São Paulo,Série A,River Plate,Primera División,2017-2018,4500000,11500000
Martin Braithwaite,Centre-Forward,26,Toulouse,Ligue 1,Middlesbrough,Championship,2017-2018,7500000,11300000
Jacob Murphy,Right Winger,22,Norwich,Championship,Newcastle,Premier League,2017-2018,1000000,11300000
Florian Thauvin,Right Winger,24,Newcastle,Premier League,Marseille,Ligue 1,2017-2018,18000000,11000000
Gabriel Paulista,Centre-Back,26,Arsenal,Premier League,Valencia CF,LaLiga,2017-2018,13000000,11000000
Martin Terrier,Left Winger,20,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,2017-2018,12000000,11000000
Guilherme Arana,Left-Back,20,Corinthians,Série A,Sevilla FC,LaLiga,2017-2018,10000000,11000000
Stevan Jovetic,Centre-Forward,27,Inter,Serie A,Monaco,Ligue 1,2017-2018,10000000,11000000
Jonathan Viera,Attacking Midfield,28,UD Las Palmas,LaLiga,BJ Sinobo Guoan,Super League,2017-2018,8000000,11000000
Jô,Centre-Forward,30,Corinthians,Série A,Nagoya Grampus,J1 League,2017-2018,4000000,11000000
Nikola Vlasic,Attacking Midfield,19,Hajduk Split,1.HNL,Everton,Premier League,2017-2018,4000000,10800000
Marc Bartra,Centre-Back,27,Bor. Dortmund,1.Bundesliga,Real Betis,LaLiga,2017-2018,15000000,10500000
Rodrigo Bentancur,Central Midfield,20,Boca Juniors,Primera División,Juventus,Serie A,2017-2018,6000000,10500000
Luiz Araújo,Right Winger,21,São Paulo,Série A,LOSC Lille,Ligue 1,2017-2018,500000,10500000
Jordan Hugill,Centre-Forward,25,Preston NE,Championship,West Ham,Premier League,2017-2018,3000000,10200000
Luiz Gustavo,Defensive Midfield,29,VfL Wolfsburg,1.Bundesliga,Marseille,Ligue 1,2017-2018,12000000,10000000
Lorenzo Pellegrini,Central Midfield,21,Sassuolo,Serie A,AS Roma,Serie A,2017-2018,12000000,10000000
Ignacio Camacho,Defensive Midfield,27,Málaga CF,LaLiga,VfL Wolfsburg,1.Bundesliga,2017-2018,10000000,10000000
Marco Benassi,Central Midfield,22,Torino,Serie A,Fiorentina,Serie A,2017-2018,9500000,10000000
Diafra Sakho,Centre-Forward,28,West Ham,Premier League,Stade Rennais,Ligue 1,2017-2018,8000000,10000000
Bertrand Traoré,Right Winger,21,Chelsea,Premier League,Olympique Lyon,Ligue 1,2017-2018,8000000,10000000
Landry Dimata,Centre-Forward,19,KV Oostende,Jupiler Pro League,VfL Wolfsburg,1.Bundesliga,2017-2018,6500000,10000000
Florian Lejeune,Centre-Back,26,SD Eibar,LaLiga,Newcastle,Premier League,2017-2018,5000000,10000000
Roberto Inglese,Centre-Forward,25,Chievo Verona,Serie A,SSC Napoli,Serie A,2017-2018,4500000,10000000
Adam Ounas,Left Winger,20,G. Bordeaux,Ligue 1,SSC Napoli,Serie A,2017-2018,4000000,10000000
Loïs Diony,Centre-Forward,24,Dijon,Ligue 1,Saint-Étienne,Ligue 1,2017-2018,3000000,10000000
Nicolas Pépé,Right Winger,22,SCO Angers,Ligue 1,LOSC Lille,Ligue 1,2017-2018,3000000,10000000
Allan Saint-Maximin,Right Winger,20,Monaco,Ligue 1,OGC Nice,Ligue 1,2017-2018,3000000,10000000
Adama Diakhaby,Centre-Forward,21,Stade Rennais,Ligue 1,Monaco,Ligue 1,2017-2018,1500000,10000000
Pape Cheikh,Central Midfield,20,Celta de Vigo,LaLiga,Olympique Lyon,Ligue 1,2017-2018,800000,10000000
Bruno Fernandes,Attacking Midfield,22,Sampdoria,Serie A,Sporting CP,Liga NOS,2017-2018,7500000,9690000
Marcos Acuña,Left Midfield,25,Racing Club,Primera División,Sporting CP,Liga NOS,2017-2018,7000000,9590000
Tom Cleverley,Central Midfield,27,Everton,Premier League,Watford,Premier League,2017-2018,8000000,9300000
Rui Fonte,Centre-Forward,27,Braga,Liga NOS,Fulham,Championship,2017-2018,3000000,9130000
Will Hughes,Central Midfield,22,Derby,Championship,Watford,Premier League,2017-2018,8000000,9100000
Tom Ince,Right Winger,25,Derby,Championship,Huddersfield,Premier League,2017-2018,7000000,9100000
Aaron Mooy,Central Midfield,26,Man City,Premier League,Huddersfield,Premier League,2017-2018,5000000,9100000
Jack Cork,Defensive Midfield,28,Swansea,Premier League,Burnley,Premier League,2017-2018,5000000,9100000
Jonathas,Centre-Forward,28,Rubin Kazan,Premier Liga,Hannover 96,1.Bundesliga,2017-2018,7000000,9000000
Emiliano Rigoni,Right Winger,24,Independiente,Primera División,Zenit S-Pb,Premier Liga,2017-2018,7000000,9000000
Andrew Robertson,Left-Back,23,Hull City,Championship,Liverpool,Premier League,2017-2018,7000000,9000000
Gastón Ramírez,Attacking Midfield,26,Middlesbrough,Championship,Sampdoria,Serie A,2017-2018,6000000,9000000
Jairo Riedewald,Centre-Back,20,AFC Ajax,Eredivisie,Crystal Palace,Premier League,2017-2018,5000000,9000000
Thiago Mendes,Defensive Midfield,25,São Paulo,Série A,LOSC Lille,Ligue 1,2017-2018,3500000,9000000
Kévin Malcuit,Right-Back,25,Saint-Étienne,Ligue 1,LOSC Lille,Ligue 1,2017-2018,3000000,9000000
Younès Belhanda,Attacking Midfield,27,Dynamo Kyiv,Premier Liga,Galatasaray,Süper Lig,2017-2018,9000000,8750000
Guido Pizarro,Defensive Midfield,27,Tigres UANL,Liga MX Clausura,Sevilla FC,LaLiga,2017-2018,4000000,8700000
Adnan Januzaj,Right Winger,22,Man Utd,Premier League,Real Sociedad,LaLiga,2017-2018,7000000,8500000
Serge Gnabry,Left Winger,21,Werder Bremen,1.Bundesliga,Bayern Munich ,1.Bundesliga,2017-2018,15000000,8000000
Valère Germain,Centre-Forward,27,Monaco,Ligue 1,Marseille,Ligue 1,2017-2018,10000000,8000000
Juan Jesus,Centre-Back,26,Inter,Serie A,AS Roma,Serie A,2017-2018,7500000,8000000
