Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,12h,Good,26,NA,NA,NA,04/11/2018 13:00
Barcelona - Eixample,Good,2.1538,41.3853,11h,--,NA,11h,--,NA,13h,Good,15,04/11/2018 13:00
Barcelona - Gr_cia,Good,2.1534,41.3987,12h,Good,21,12h,Good,42,NA,NA,NA,04/11/2018 13:00
Barcelona - Ciutadella,Good,2.1874,41.3864,12h,Good,20,12h,Good,39,NA,NA,NA,04/11/2018 13:00
Barcelona - Vall Hebron,Good,2.148,41.4261,12h,Good,40,12h,Good,17,13h,Good,3,04/11/2018 13:00
Barcelona - Palau Reial,Good,2.1151,41.3875,12h,Good,31,12h,Good,18,13h,Good,11,04/11/2018 13:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,12h,Good,31,13h,Good,13,04/11/2018 13:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,12h,Good,81,12h,Good,2,13h,Good,8,04/11/2018 13:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,13h,Good,22,NA,NA,NA,04/11/2018 14:00
Barcelona - Eixample,Good,2.1538,41.3853,12h,--,NA,12h,--,NA,14h,Good,15,04/11/2018 14:00
Barcelona - Gr_cia,Good,2.1534,41.3987,13h,Good,41,13h,Good,27,NA,NA,NA,04/11/2018 14:00
Barcelona - Ciutadella,Good,2.1874,41.3864,13h,Good,35,13h,Good,32,NA,NA,NA,04/11/2018 14:00
Barcelona - Vall Hebron,Good,2.148,41.4261,13h,Good,52,13h,Good,11,14h,Good,3,04/11/2018 14:00
Barcelona - Palau Reial,Good,2.1151,41.3875,13h,Good,45,13h,Good,5,13h,Good,11,04/11/2018 14:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,13h,Good,31,13h,Good,13,04/11/2018 14:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,13h,Good,74,13h,Good,2,13h,Good,9,04/11/2018 14:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,14h,Good,31,NA,NA,NA,04/11/2018 15:00
Barcelona - Eixample,Good,2.1538,41.3853,13h,--,NA,13h,--,NA,15h,Good,14,04/11/2018 15:00
Barcelona - Gr_cia,Good,2.1534,41.3987,13h,Good,41,13h,Good,27,NA,NA,NA,04/11/2018 15:00
Barcelona - Ciutadella,Good,2.1874,41.3864,14h,Good,40,14h,Good,24,NA,NA,NA,04/11/2018 15:00
Barcelona - Vall Hebron,Good,2.148,41.4261,14h,Good,53,14h,Good,11,15h,Good,2,04/11/2018 15:00
Barcelona - Palau Reial,Good,2.1151,41.3875,14h,Good,44,14h,Good,19,15h,Good,12,04/11/2018 15:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,14h,Good,27,15h,Good,13,04/11/2018 15:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,14h,Good,70,14h,Good,7,15h,Good,9,04/11/2018 15:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,15h,Good,38,NA,NA,NA,04/11/2018 16:00
Barcelona - Eixample,Good,2.1538,41.3853,13h,--,NA,13h,--,NA,15h,Good,14,04/11/2018 16:00
Barcelona - Gr_cia,--,2.1534,41.3987,14h,--,NA,14h,--,NA,NA,NA,NA,04/11/2018 16:00
Barcelona - Ciutadella,Good,2.1874,41.3864,15h,Good,15,15h,Good,70,NA,NA,NA,04/11/2018 16:00
Barcelona - Vall Hebron,Good,2.148,41.4261,15h,Good,57,15h,Good,14,16h,Good,2,04/11/2018 16:00
Barcelona - Palau Reial,Good,2.1151,41.3875,15h,Good,47,15h,Good,23,16h,Good,13,04/11/2018 16:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,15h,Good,59,16h,Good,14,04/11/2018 16:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,15h,Good,69,15h,Good,10,16h,Good,10,04/11/2018 16:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,16h,Good,18,NA,NA,NA,04/11/2018 17:00
Barcelona - Eixample,Good,2.1538,41.3853,16h,Good,35,16h,Good,42,17h,Good,15,04/11/2018 17:00
Barcelona - Gr_cia,--,2.1534,41.3987,15h,--,NA,15h,--,NA,NA,NA,NA,04/11/2018 17:00
Barcelona - Ciutadella,Good,2.1874,41.3864,16h,Good,19,16h,Good,63,NA,NA,NA,04/11/2018 17:00
Barcelona - Vall Hebron,Good,2.148,41.4261,16h,Good,56,16h,Good,23,17h,Good,2,04/11/2018 17:00
Barcelona - Palau Reial,Good,2.1151,41.3875,16h,Good,49,16h,Good,16,17h,Good,13,04/11/2018 17:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,16h,Good,67,17h,Good,15,04/11/2018 17:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,16h,Good,63,16h,Good,16,16h,Good,10,04/11/2018 17:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,17h,Good,21,NA,NA,NA,04/11/2018 18:00
Barcelona - Eixample,Good,2.1538,41.3853,17h,Good,32,17h,Good,46,18h,Good,15,04/11/2018 18:00
Barcelona - Gr_cia,--,2.1534,41.3987,16h,--,NA,16h,--,NA,NA,NA,NA,04/11/2018 18:00
Barcelona - Ciutadella,Good,2.1874,41.3864,17h,Good,32,17h,Good,50,NA,NA,NA,04/11/2018 18:00
Barcelona - Vall Hebron,Good,2.148,41.4261,17h,Good,51,17h,Good,27,18h,Good,2,04/11/2018 18:00
Barcelona - Palau Reial,Good,2.1151,41.3875,17h,Good,56,17h,Good,15,18h,Good,13,04/11/2018 18:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,17h,Good,71,18h,Good,16,04/11/2018 18:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,17h,Good,52,17h,Good,24,18h,Good,11,04/11/2018 18:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,18h,Good,34,NA,NA,NA,04/11/2018 19:00
Barcelona - Eixample,Good,2.1538,41.3853,18h,Good,25,18h,Good,75,18h,Good,16,04/11/2018 19:00
Barcelona - Gr_cia,Good,2.1534,41.3987,18h,Good,48,18h,Good,51,NA,NA,NA,04/11/2018 19:00
Barcelona - Ciutadella,Good,2.1874,41.3864,18h,Good,47,18h,Good,48,NA,NA,NA,04/11/2018 19:00
Barcelona - Vall Hebron,Good,2.148,41.4261,18h,Good,35,18h,Good,52,18h,Good,2,04/11/2018 19:00
Barcelona - Palau Reial,Good,2.1151,41.3875,18h,Good,54,18h,Good,33,19h,Good,13,04/11/2018 19:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,18h,Good,77,19h,Good,16,04/11/2018 19:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,18h,Good,66,18h,Good,15,19h,Good,12,04/11/2018 19:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,19h,Good,37,NA,NA,NA,04/11/2018 20:00
Barcelona - Eixample,Good,2.1538,41.3853,19h,Good,21,19h,Good,75,20h,Good,16,04/11/2018 20:00
Barcelona - Gr_cia,Good,2.1534,41.3987,19h,Good,34,19h,Good,62,NA,NA,NA,04/11/2018 20:00
Barcelona - Ciutadella,Good,2.1874,41.3864,19h,Good,26,19h,Good,51,NA,NA,NA,04/11/2018 20:00
Barcelona - Vall Hebron,Good,2.148,41.4261,19h,Good,29,19h,Good,62,20h,Good,2,04/11/2018 20:00
Barcelona - Palau Reial,Good,2.1151,41.3875,19h,Good,20,19h,Good,57,20h,Good,14,04/11/2018 20:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,19h,Good,86,20h,Good,16,04/11/2018 20:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,19h,Good,73,19h,Good,11,19h,Good,12,04/11/2018 20:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,20h,Good,58,NA,NA,NA,04/11/2018 21:00
Barcelona - Eixample,Moderate,2.1538,41.3853,20h,Good,10,20h,Moderate,99,21h,Good,16,04/11/2018 21:00
Barcelona - Gr_cia,Good,2.1534,41.3987,20h,Good,21,20h,Good,74,NA,NA,NA,04/11/2018 21:00
Barcelona - Ciutadella,Good,2.1874,41.3864,20h,Good,16,20h,Good,53,NA,NA,NA,04/11/2018 21:00
Barcelona - Vall Hebron,Good,2.148,41.4261,20h,Good,3,20h,Good,82,21h,Good,2,04/11/2018 21:00
Barcelona - Palau Reial,Good,2.1151,41.3875,20h,Good,1,20h,Good,73,21h,Good,14,04/11/2018 21:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,20h,Good,71,21h,Good,17,04/11/2018 21:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,20h,Good,86,20h,Good,4,21h,Good,13,04/11/2018 21:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,21h,Good,83,NA,NA,NA,04/11/2018 22:00
Barcelona - Eixample,Good,2.1538,41.3853,21h,Good,6,21h,Good,89,21h,Good,17,04/11/2018 22:00
Barcelona - Gr_cia,Good,2.1534,41.3987,21h,Good,23,21h,Good,53,NA,NA,NA,04/11/2018 22:00
Barcelona - Ciutadella,Good,2.1874,41.3864,21h,Good,19,21h,Good,50,NA,NA,NA,04/11/2018 22:00
Barcelona - Vall Hebron,Good,2.148,41.4261,21h,Good,2,21h,Good,78,21h,Good,2,04/11/2018 22:00
Barcelona - Palau Reial,Good,2.1151,41.3875,21h,Good,1,21h,Good,80,22h,Good,15,04/11/2018 22:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,21h,Good,44,22h,Good,18,04/11/2018 22:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,21h,Good,65,21h,Good,22,22h,Good,13,04/11/2018 22:00
Barcelona - Sants,--,2.1331,41.3788,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/11/2018 23:00
Barcelona - Eixample,Good,2.1538,41.3853,NA,NA,NA,NA,NA,NA,23h,Good,18,04/11/2018 23:00
Barcelona - Gr_cia,--,2.1534,41.3987,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/11/2018 23:00
Barcelona - Ciutadella,--,2.1874,41.3864,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/11/2018 23:00
Barcelona - Vall Hebron,Good,2.148,41.4261,NA,NA,NA,NA,NA,NA,23h,Good,2,04/11/2018 23:00
Barcelona - Palau Reial,Good,2.1151,41.3875,NA,NA,NA,NA,NA,NA,23h,Good,16,04/11/2018 23:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,NA,NA,NA,23h,Good,18,04/11/2018 23:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,22h,Good,81,22h,Good,8,22h,Good,14,04/11/2018 23:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,0h,Good,79,NA,NA,NA,05/11/2018 0:00
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,1,0h,Good,85,0h,Good,19,05/11/2018 0:00
Barcelona - Gr_cia,Good,2.1534,41.3987,0h,Good,3,0h,Good,72,NA,NA,NA,05/11/2018 0:00
Barcelona - Ciutadella,Good,2.1874,41.3864,0h,Good,5,0h,Good,55,NA,NA,NA,05/11/2018 0:00
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,3,0h,Good,68,0h,Good,2,05/11/2018 0:00
Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,1,0h,Good,64,0h,Good,16,05/11/2018 0:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,0h,Good,73,0h,Good,19,05/11/2018 0:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,0h,Good,80,0h,Good,7,0h,Good,14,05/11/2018 0:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,0h,Good,74,NA,NA,NA,05/11/2018 1:00
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,2,0h,Good,78,0h,Good,20,05/11/2018 1:00
Barcelona - Gr_cia,Good,2.1534,41.3987,0h,Good,2,0h,Good,76,NA,NA,NA,05/11/2018 1:00
Barcelona - Ciutadella,Good,2.1874,41.3864,0h,Good,2,0h,Good,63,NA,NA,NA,05/11/2018 1:00
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,4,0h,Good,66,0h,Good,2,05/11/2018 1:00
Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,2,0h,Good,63,0h,Good,17,05/11/2018 1:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,0h,Good,72,0h,Good,20,05/11/2018 1:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,0h,Good,61,0h,Good,17,1h,Good,15,05/11/2018 1:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,1h,Good,57,NA,NA,NA,05/11/2018 2:00
Barcelona - Eixample,Good,2.1538,41.3853,1h,Good,1,1h,Good,69,2h,Good,22,05/11/2018 2:00
Barcelona - Gr_cia,Good,2.1534,41.3987,1h,Good,2,1h,Good,72,NA,NA,NA,05/11/2018 2:00
Barcelona - Ciutadella,Good,2.1874,41.3864,1h,Good,2,1h,Good,63,NA,NA,NA,05/11/2018 2:00
Barcelona - Vall Hebron,Good,2.148,41.4261,1h,Good,3,1h,Good,62,2h,Good,2,05/11/2018 2:00
Barcelona - Palau Reial,Good,2.1151,41.3875,1h,Good,1,1h,Good,59,2h,Good,18,05/11/2018 2:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,1h,Good,65,2h,Good,21,05/11/2018 2:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,1h,Good,40,1h,Good,29,2h,Good,16,05/11/2018 2:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,2h,Good,59,NA,NA,NA,05/11/2018 3:00
Barcelona - Eixample,Good,2.1538,41.3853,2h,Good,2,2h,Good,69,3h,Good,23,05/11/2018 3:00
Barcelona - Gr_cia,Good,2.1534,41.3987,2h,Good,1,2h,Good,67,NA,NA,NA,05/11/2018 3:00
Barcelona - Ciutadella,Good,2.1874,41.3864,2h,Good,2,2h,Good,56,NA,NA,NA,05/11/2018 3:00
Barcelona - Vall Hebron,Good,2.148,41.4261,2h,Good,8,2h,Good,47,3h,Good,2,05/11/2018 3:00
Barcelona - Palau Reial,Good,2.1151,41.3875,2h,Good,1,2h,Good,58,3h,Good,18,05/11/2018 3:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,2h,Good,62,3h,Good,22,05/11/2018 3:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,2h,Good,38,2h,Good,23,3h,Good,17,05/11/2018 3:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,3h,Good,59,NA,NA,NA,05/11/2018 4:00
Barcelona - Eixample,Good,2.1538,41.3853,3h,Good,1,3h,Good,63,4h,Good,24,05/11/2018 4:00
Barcelona - Gr_cia,Good,2.1534,41.3987,3h,Good,1,3h,Good,62,NA,NA,NA,05/11/2018 4:00
Barcelona - Ciutadella,Good,2.1874,41.3864,3h,Good,3,3h,Good,58,NA,NA,NA,05/11/2018 4:00
Barcelona - Vall Hebron,Good,2.148,41.4261,3h,Good,2,3h,Good,48,3h,Good,2,05/11/2018 4:00
Barcelona - Palau Reial,Good,2.1151,41.3875,3h,Good,1,3h,Good,52,3h,Good,19,05/11/2018 4:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,3h,Good,58,3h,Good,22,05/11/2018 4:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,3h,Good,36,3h,Good,23,4h,Good,17,05/11/2018 4:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,4h,Good,56,NA,NA,NA,05/11/2018 5:00
Barcelona - Eixample,Good,2.1538,41.3853,4h,Good,1,4h,Good,60,5h,Good,24,05/11/2018 5:00
Barcelona - Gr_cia,Good,2.1534,41.3987,4h,Good,1,4h,Good,61,NA,NA,NA,05/11/2018 5:00
Barcelona - Ciutadella,Good,2.1874,41.3864,4h,Good,7,4h,Good,48,NA,NA,NA,05/11/2018 5:00
Barcelona - Vall Hebron,Good,2.148,41.4261,4h,Good,6,4h,Good,36,5h,Good,2,05/11/2018 5:00
Barcelona - Palau Reial,Good,2.1151,41.3875,4h,Good,1,4h,Good,51,5h,Good,19,05/11/2018 5:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,4h,Good,51,5h,Good,23,05/11/2018 5:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,4h,Good,36,4h,Good,26,5h,Good,18,05/11/2018 5:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,5h,Good,46,NA,NA,NA,05/11/2018 6:00
Barcelona - Eixample,Good,2.1538,41.3853,5h,Good,2,5h,Good,53,6h,Good,25,05/11/2018 6:00
Barcelona - Gr_cia,Good,2.1534,41.3987,5h,Good,1,5h,Good,59,NA,NA,NA,05/11/2018 6:00
Barcelona - Ciutadella,Good,2.1874,41.3864,5h,Good,6,5h,Good,43,NA,NA,NA,05/11/2018 6:00
Barcelona - Vall Hebron,Good,2.148,41.4261,5h,Good,4,5h,Good,40,6h,Good,2,05/11/2018 6:00
Barcelona - Palau Reial,Good,2.1151,41.3875,5h,Good,1,5h,Good,42,6h,Good,20,05/11/2018 6:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,5h,Good,45,6h,Good,24,05/11/2018 6:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,5h,Good,54,5h,Good,17,6h,Good,18,05/11/2018 6:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,6h,Good,42,NA,NA,NA,05/11/2018 7:00
Barcelona - Eixample,Good,2.1538,41.3853,6h,Good,1,6h,Good,48,7h,Good,26,05/11/2018 7:00
Barcelona - Gr_cia,Good,2.1534,41.3987,6h,Good,1,6h,Good,54,NA,NA,NA,05/11/2018 7:00
Barcelona - Ciutadella,Good,2.1874,41.3864,6h,Good,2,6h,Good,49,NA,NA,NA,05/11/2018 7:00
Barcelona - Vall Hebron,Good,2.148,41.4261,6h,Good,5,6h,Good,47,7h,Good,3,05/11/2018 7:00
Barcelona - Palau Reial,Good,2.1151,41.3875,6h,Good,1,6h,Good,35,6h,Good,20,05/11/2018 7:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,6h,Good,41,6h,Good,24,05/11/2018 7:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,6h,Good,36,6h,Good,25,7h,Good,19,05/11/2018 7:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,7h,Good,43,NA,NA,NA,05/11/2018 8:00
Barcelona - Eixample,Good,2.1538,41.3853,7h,Good,1,7h,Good,62,8h,Good,27,05/11/2018 8:00
Barcelona - Gr_cia,Good,2.1534,41.3987,7h,Good,1,7h,Good,54,NA,NA,NA,05/11/2018 8:00
Barcelona - Ciutadella,Good,2.1874,41.3864,6h,Good,2,6h,Good,49,NA,NA,NA,05/11/2018 8:00
Barcelona - Vall Hebron,Good,2.148,41.4261,7h,Good,1,7h,Good,52,8h,Good,3,05/11/2018 8:00
Barcelona - Palau Reial,Good,2.1151,41.3875,7h,Good,1,7h,Good,38,8h,Good,21,05/11/2018 8:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,7h,Good,42,8h,Good,26,05/11/2018 8:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,7h,Good,36,7h,Good,36,8h,Good,19,05/11/2018 8:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,8h,Good,52,NA,NA,NA,05/11/2018 9:00
Barcelona - Eixample,Good,2.1538,41.3853,8h,Good,2,8h,Good,85,9h,Good,29,05/11/2018 9:00
Barcelona - Gr_cia,Good,2.1534,41.3987,8h,Good,1,8h,Good,75,NA,NA,NA,05/11/2018 9:00
Barcelona - Ciutadella,Good,2.1874,41.3864,8h,Good,2,8h,Good,38,NA,NA,NA,05/11/2018 9:00
Barcelona - Vall Hebron,Good,2.148,41.4261,8h,Good,2,8h,Good,77,9h,Good,4,05/11/2018 9:00
Barcelona - Palau Reial,Good,2.1151,41.3875,8h,Good,1,8h,Good,52,9h,Good,22,05/11/2018 9:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,8h,Good,52,9h,Good,27,05/11/2018 9:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,8h,Good,87,8h,Good,5,9h,Good,19,05/11/2018 9:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,10h,Good,79,NA,NA,NA,05/11/2018 11:00
Barcelona - Eixample,Moderate,2.1538,41.3853,10h,Good,3,10h,Moderate,105,11h,Good,32,05/11/2018 11:00
Barcelona - Gr_cia,Moderate,2.1534,41.3987,9h,Good,2,9h,Moderate,97,NA,NA,NA,05/11/2018 11:00
Barcelona - Ciutadella,Good,2.1874,41.3864,10h,Good,2,10h,Good,79,NA,NA,NA,05/11/2018 11:00
Barcelona - Vall Hebron,Good,2.148,41.4261,10h,Good,3,10h,Good,87,11h,Good,4,05/11/2018 11:00
Barcelona - Palau Reial,Good,2.1151,41.3875,10h,Good,10,10h,Good,76,11h,Good,23,05/11/2018 11:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,10h,Good,70,11h,Good,30,05/11/2018 11:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,10h,Good,28,10h,Good,54,11h,Good,19,05/11/2018 11:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,11h,Good,65,NA,NA,NA,05/11/2018 12:00
Barcelona - Eixample,Good,2.1538,41.3853,11h,Good,17,11h,Good,87,11h,Good,32,05/11/2018 12:00
Barcelona - Gr_cia,--,2.1534,41.3987,10h,--,NA,10h,--,NA,NA,NA,NA,05/11/2018 12:00
Barcelona - Ciutadella,Good,2.1874,41.3864,11h,Good,18,11h,Good,73,NA,NA,NA,05/11/2018 12:00
Barcelona - Vall Hebron,Good,2.148,41.4261,11h,Good,30,11h,Good,53,NA,NA,NA,05/11/2018 12:00
Barcelona - Palau Reial,Good,2.1151,41.3875,11h,Good,29,11h,Good,55,12h,Good,23,05/11/2018 12:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,11h,Good,67,12h,Good,32,05/11/2018 12:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,11h,Good,61,11h,Good,26,12h,Good,19,05/11/2018 12:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,12h,Good,39,NA,NA,NA,05/11/2018 13:00
Barcelona - Eixample,Good,2.1538,41.3853,12h,Good,33,12h,Good,72,13h,Good,33,05/11/2018 13:00
Barcelona - Gr_cia,--,2.1534,41.3987,11h,--,NA,11h,--,NA,NA,NA,NA,05/11/2018 13:00
Barcelona - Ciutadella,Good,2.1874,41.3864,11h,Good,18,11h,Good,73,NA,NA,NA,05/11/2018 13:00
Barcelona - Vall Hebron,Good,2.148,41.4261,12h,Good,62,12h,Good,30,NA,NA,NA,05/11/2018 13:00
Barcelona - Palau Reial,Good,2.1151,41.3875,12h,Good,46,12h,Good,35,13h,Good,23,05/11/2018 13:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,12h,Good,30,13h,Good,32,05/11/2018 13:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,12h,Good,63,12h,Good,24,12h,Good,19,05/11/2018 13:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,13h,Good,28,NA,NA,NA,05/11/2018 14:00
Barcelona - Eixample,Good,2.1538,41.3853,13h,Good,22,13h,Good,83,13h,Good,33,05/11/2018 14:00
Barcelona - Gr_cia,--,2.1534,41.3987,11h,--,NA,11h,--,NA,NA,NA,NA,05/11/2018 14:00
Barcelona - Ciutadella,Good,2.1874,41.3864,11h,Good,18,11h,Good,73,NA,NA,NA,05/11/2018 14:00
Barcelona - Vall Hebron,Good,2.148,41.4261,13h,Good,67,13h,Good,22,NA,NA,NA,05/11/2018 14:00
Barcelona - Palau Reial,Good,2.1151,41.3875,13h,Good,56,13h,Good,26,13h,Good,23,05/11/2018 14:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,12h,Good,30,13h,Good,32,05/11/2018 14:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,13h,Good,71,13h,Good,9,13h,Good,18,05/11/2018 14:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,14h,Good,25,NA,NA,NA,05/11/2018 15:00
Barcelona - Eixample,Good,2.1538,41.3853,14h,Good,35,14h,Good,70,14h,Good,34,05/11/2018 15:00
Barcelona - Gr_cia,--,2.1534,41.3987,12h,--,NA,12h,--,NA,NA,NA,NA,05/11/2018 15:00
Barcelona - Ciutadella,Good,2.1874,41.3864,14h,Good,64,14h,Good,22,NA,NA,NA,05/11/2018 15:00
Barcelona - Vall Hebron,Good,2.148,41.4261,14h,Good,69,14h,Good,22,NA,NA,NA,05/11/2018 15:00
Barcelona - Palau Reial,Good,2.1151,41.3875,14h,Good,62,14h,Good,19,14h,Good,23,05/11/2018 15:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,12h,Good,30,14h,Good,32,05/11/2018 15:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,14h,Good,78,14h,Good,17,14h,Good,18,05/11/2018 15:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,15h,Good,21,NA,NA,NA,05/11/2018 16:00
Barcelona - Eixample,Good,2.1538,41.3853,15h,Good,24,15h,Good,80,15h,Good,34,05/11/2018 16:00
Barcelona - Gr_cia,Good,2.1534,41.3987,15h,Good,54,15h,Good,43,NA,NA,NA,05/11/2018 16:00
Barcelona - Ciutadella,Good,2.1874,41.3864,15h,Good,79,15h,Good,13,NA,NA,NA,05/11/2018 16:00
Barcelona - Vall Hebron,Good,2.148,41.4261,15h,Good,79,15h,Good,17,NA,NA,NA,05/11/2018 16:00
Barcelona - Palau Reial,Good,2.1151,41.3875,15h,Good,62,15h,Good,22,15h,Good,23,05/11/2018 16:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,15h,Good,22,15h,Good,32,05/11/2018 16:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,14h,Good,78,14h,Good,17,15h,Good,19,05/11/2018 16:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,16h,Good,36,NA,NA,NA,05/11/2018 17:00
Barcelona - Eixample,Good,2.1538,41.3853,16h,Good,32,16h,Good,69,16h,Good,33,05/11/2018 17:00
Barcelona - Gr_cia,Good,2.1534,41.3987,16h,Good,62,16h,Good,34,NA,NA,NA,05/11/2018 17:00
Barcelona - Ciutadella,Good,2.1874,41.3864,16h,Good,78,16h,Good,11,NA,NA,NA,05/11/2018 17:00
Barcelona - Vall Hebron,Good,2.148,41.4261,16h,Good,81,16h,Good,15,NA,NA,NA,05/11/2018 17:00
Barcelona - Palau Reial,Good,2.1151,41.3875,16h,Good,57,16h,Good,28,16h,Good,23,05/11/2018 17:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,16h,Good,27,16h,Good,30,05/11/2018 17:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,14h,Good,78,14h,Good,17,16h,Good,19,05/11/2018 17:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,17h,Good,29,NA,NA,NA,05/11/2018 18:00
Barcelona - Eixample,Good,2.1538,41.3853,17h,Good,47,17h,Good,57,17h,Good,34,05/11/2018 18:00
Barcelona - Gr_cia,Good,2.1534,41.3987,17h,Good,60,17h,Good,38,NA,NA,NA,05/11/2018 18:00
